system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_875,19169,"Story County, Iowa",651558,1677.088844,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_867,19153,"Polk County, Iowa",300322,1620.739357,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_881,19181,"Warren County, Iowa",87463,1522.694232,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_840,19099,"Jasper County, Iowa",417046,1632.304411,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_853,19125,"Marion County, Iowa",26386,1538.567906,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_852,19123,"Mahaska County, Iowa",224582,1556.935976,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_869,19157,"Poweshiek County, Iowa",389306,1587.178004,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_876,19171,"Tama County, Iowa",564161,1607.566061,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_854,19127,"Marshall County, Iowa",522196,1635.79606,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_828,19075,"Grundy County, Iowa",573837,1558.863551,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_802,19023,"Butler County, Iowa",521627,1620.484488,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_824,19067,"Floyd County, Iowa",465432,1512.019694,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_856,19131,"Mitchell County, Iowa",441709,1493.245076,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_888,19195,"Worth County, Iowa",449138,1596.050231,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_807,19033,"Cerro Gordo County, Iowa",624029,1603.756838,2001,
